ds;y;High;Low;Close;Adj Close;Volume
2017-08-31;9782.808594;10109.280273;9753.972656;10082.503906;6567.492188;540036
2017-01-09;10113.399414;10216.387695;9997.023438;10095.891602;6576.212891;347207
2017-04-09;10092.802734;10144.295898;9963.038086;10037.188477;6537.975098;126742
2017-05-09;10050.577148;10079.414063;9938.320313;9981.575195;6501.749023;141959
2017-06-09;9971.276367;10154.594727;9970.247070;10118.548828;6590.971680;254418
2017-07-09;10154.594727;10162.833984;9948.619141;9948.619141;6480.283203;221691
2017-08-09;9951.708984;10108.250000;9899.185547;9964.067383;6490.345703;167939
2017-11-09;9979.515625;10090.742188;9887.856445;9955.828125;6484.979492;222666
2017-12-09;9938.320313;10161.803711;9932.141602;10161.803711;6619.145996;180739
2017-09-13;10149.445313;10169.013672;9938.320313;9938.320313;6473.573730;189640
2017-09-14;9916.693359;9938.320313;9752.942383;9845.631836;6413.200195;242340
2017-09-15;9852.840820;9864.168945;9708.658203;9819.884766;6396.428223;202776
2017-09-18;9854.900391;9980.545898;9819.884766;9832.243164;6404.479004;163733
2017-09-19;9813.705078;9916.693359;9809.585938;9900.214844;6448.753418;139367
2017-09-20;9929.051758;9968.187500;9816.794922;9962.007813;6489.004883;193534
2017-09-21;9926.992188;10022.770508;9856.959961;10000.113281;6513.826172;236092
2017-09-22;9917.722656;9928.021484;9786.928711;9879.617188;6435.336914;257282
2017-09-25;9877.557617;9974.366211;9808.555664;9938.320313;6473.573730;182325
2017-09-26;9962.007813;10064.995117;9880.647461;9894.036133;6444.729492;158753
2017-09-27;9894.036133;10005.262695;9886.827148;9937.291016;6472.903809;153765
2017-09-28;9938.320313;9951.708984;9868.289063;9936.260742;6472.232910;106791
2017-09-29;9938.320313;10242.134766;9933.170898;10216.387695;6654.701172;385642
2017-02-10;10216.387695;10442.960938;10199.909180;10436.781250;6798.259766;334336
2017-03-10;10471.796875;10598.472656;10448.110352;10559.336914;6878.089844;282937
2017-04-10;10597.442383;10613.920898;10437.811523;10518.141602;6851.255859;213439
2017-05-10;10507.842773;10667.473633;10474.886719;10636.578125;6928.402344;182326
2017-06-10;10690.131836;10710.728516;10593.323242;10621.129883;6918.339355;114983
2017-09-10;10640.697266;10749.864258;10640.697266;10749.864258;7002.195313;135161
2017-10-10;10759.132813;10759.132813;10484.156250;10560.367188;6878.760742;186735
2017-11-10;10560.367188;10613.920898;10455.319336;10581.994141;6892.847168;171621
2017-12-10;10585.083984;10599.501953;10368.809570;10458.409180;6812.347656;271055
2017-10-13;10458.409180;10809.597656;10458.409180;10803.417969;7037.077148;477949
2017-10-16;10813.716797;11157.696289;10803.417969;11102.082031;7231.619629;570579
2017-10-17;11070.156250;11095.903320;10968.198242;11050.588867;7198.079102;261690
2017-10-18;10885.808594;11244.206055;10844.613281;11077.365234;7364.943848;394308
2017-10-19;11080.455078;11143.277344;10841.523438;10841.523438;7208.142090;266902
2017-10-20;10928.033203;11062.947266;10920.824219;11015.573242;7323.860840;203726
2017-10-23;11045.439453;11071.186523;10916.704102;10991.885742;7308.111328;125199
2017-10-24;10993.945313;11054.708008;10805.477539;10984.676758;7303.318359;129969
2017-10-25;10987.765625;11004.244141;10659.235352;10700.430664;7114.333496;232646
2017-10-26;10700.430664;10880.659180;10596.412109;10736.475586;7138.299805;204873
2017-10-27;10710.728516;10872.419922;10693.220703;10846.672852;7211.564941;146884
2017-10-30;10796.208984;10974.377930;10731.326172;10906.405273;7251.279297;139145
2017-10-31;10968.198242;11111.351563;10908.465820;10908.465820;7252.648438;176132
2017-01-11;11071.186523;11400.747070;11060.887695;11380.149414;7566.254395;404075
2017-02-11;11400.747070;11802.399414;11248.325195;11689.113281;7771.674316;490408
2017-03-11;11739.577148;12139.169922;11686.023438;11896.118164;7909.304688;501530
2017-07-11;12024.852539;12294.680664;11656.157227;11956.880859;7949.702637;412357
2017-08-11;11882.729492;11882.729492;11693.232422;11797.250000;7843.570313;215114
2017-09-11;11658.216797;11871.401367;11555.228516;11807.548828;7850.416992;236882
2017-10-11;11741.636719;11935.253906;11703.531250;11740.606445;7805.909668;142125
2017-11-13;11782.832031;11895.088867;11699.412109;11812.698242;7853.840332;130624
2017-11-14;11765.324219;11846.684570;11411.045898;11484.166992;7635.412598;168832
2017-11-15;11389.417969;11483.137695;11125.769531;11125.769531;7397.127441;209923
2017-11-16;11125.769531;11510.944336;11125.769531;11373.970703;7562.145996;171420
2017-11-17;11373.970703;11430.613281;11122.679688;11136.068359;7403.973633;109178
2017-11-20;11158.725586;11328.655273;10721.027344;10859.031250;7219.781738;304992
2017-11-21;10710.728516;11019.692383;10517.112305;10829.165039;7199.923828;459312
2017-11-22;10860.061523;11106.202148;10742.655273;11089.723633;7373.161621;161799
2017-11-23;11071.186523;11072.215820;10798.268555;10925.973633;7264.289063;110627
2017-11-24;10968.198242;11090.753906;10933.182617;11071.186523;7360.836914;101299
2017-11-27;10968.198242;10977.467773;10762.222656;10865.210938;7223.889648;98387
2017-11-28;10741.625000;10742.655273;10427.512695;10525.350586;6997.930176;207267
2017-11-29;10576.844727;10686.011719;10383.227539;10408.974609;6920.556152;152527
2017-11-30;10371.899414;10450.169922;10171.073242;10171.073242;6762.383301;260057
