ds;y;High;Low;Close;Adj_Close;Volume
2017-12-13;3463.000000;3467.500000;3440.500000;3458.000000;2577.297119;326643
2017-12-14;3452.000000;3467.500000;3424.000000;3453.500000;2573.943115;364793
2017-12-15;3447.000000;3457.000000;3391.500000;3420.000000;2548.975098;758607
2017-12-18;3420.000000;3445.500000;3362.500000;3395.500000;2530.714355;404972
2017-12-19;3400.500000;3421.500000;3371.500000;3402.000000;2535.559082;424464
2017-12-20;3408.000000;3419.000000;3373.000000;3373.000000;2513.945068;536501
2017-12-21;3311.000000;3332.500000;3285.000000;3332.500000;2547.969238;711629
2017-12-22;3332.500000;3356.000000;3318.000000;3347.000000;2559.055664;210619
2017-12-25;3350.500000;3359.500000;3320.000000;3320.000000;2538.411865;96741
2017-12-26;3315.000000;3324.500000;3283.500000;3288.000000;2513.945068;148822
2017-12-27;3297.000000;3312.000000;3269.000000;3283.500000;2510.504639;651463
2017-12-28;3283.500000;3317.000000;3262.500000;3317.000000;2536.118164;229669
2017-12-29;3308.000000;3334.500000;3278.500000;3334.500000;2549.498291;286274
2018-01-03;3340.000000;3421.500000;3340.000000;3421.500000;2616.017334;395935
2018-01-04;3428.000000;3501.000000;3392.500000;3501.000000;2676.801270;703060
2018-01-05;3499.500000;3569.500000;3491.000000;3569.500000;2729.174805;597654
2018-01-09;3575.000000;3647.500000;3575.000000;3628.500000;2774.285400;852392
2018-01-10;3640.000000;3649.000000;3594.500000;3641.000000;2783.842773;1025827
2018-01-11;3644.500000;3689.500000;3610.000000;3687.500000;2819.395996;665222
2018-01-12;3677.000000;3942.000000;3650.000000;3908.000000;2987.986328;2678476
2018-01-15;3932.000000;3985.000000;3876.500000;3876.500000;2963.901855;928152
2018-01-16;3887.000000;3897.000000;3767.500000;3862.000000;2952.815186;1158221
2018-01-17;3846.500000;3868.500000;3811.000000;3851.500000;2944.787109;808231
2018-01-18;3866.000000;3890.000000;3842.500000;3855.000000;2947.463379;979570
2018-01-19;3850.000000;3885.500000;3801.000000;3825.500000;2924.908203;662941
2018-01-22;3830.000000;3871.000000;3812.000000;3870.000000;2958.931641;611208
2018-01-24;3841.000000;3852.500000;3808.000000;3850.000000;2943.640381;524771
2018-01-25;3860.000000;3860.000000;3808.000000;3825.000000;2924.525391;1089601
2018-01-26;3824.500000;3828.000000;3780.500000;3821.000000;2921.467285;628690
2018-01-29;3825.000000;3830.500000;3759.000000;3778.000000;2888.590576;727704
2018-01-30;3753.000000;3816.000000;3703.000000;3713.000000;2838.892578;827397
2018-01-31;3700.000000;3759.000000;3697.000000;3728.000000;2850.360840;1036421
2018-02-01;3733.000000;3762.500000;3722.500000;3760.500000;2875.209961;506792
2018-02-02;3754.000000;3798.000000;3741.000000;3797.000000;2903.117676;692062
2018-02-05;3770.000000;3787.500000;3746.000000;3752.000000;2868.711670;724640
2018-02-06;3677.000000;3718.000000;3611.500000;3655.500000;2794.929199;1801355
2018-02-07;3686.500000;3754.000000;3675.000000;3735.000000;2855.713379;862034
2018-02-08;3715.500000;3750.500000;3681.000000;3686.000000;2818.248779;1006918
2018-02-09;3650.000000;3679.500000;3615.000000;3617.500000;2765.875000;1284341
2018-02-12;3639.000000;3682.500000;3621.000000;3656.500000;2795.693359;746035
2018-02-13;3662.500000;3737.000000;3650.000000;3729.500000;2851.508057;831401
2018-02-14;3735.000000;3751.500000;3685.000000;3709.000000;2835.833984;680600
2018-02-15;3735.000000;3767.000000;3726.500000;3730.000000;2851.890381;850072
2018-02-16;3745.000000;3819.000000;3735.000000;3751.000000;2867.946777;795779
2018-02-19;3755.000000;3778.000000;3705.500000;3715.000000;2840.421875;394169
2018-02-20;3711.000000;3744.000000;3686.500000;3744.000000;2862.594482;362094
2018-02-21;3732.000000;3819.000000;3731.500000;3808.500000;2911.909912;584031
2018-02-22;3795.000000;3834.500000;3772.000000;3824.500000;2924.143555;606565
2018-02-26;3870.000000;3899.000000;3815.000000;3829.000000;2927.584229;584421
2018-02-27;3835.000000;3855.500000;3786.000000;3838.500000;2934.847656;659182
2018-02-28;3817.500000;3832.500000;3775.000000;3776.500000;2887.443604;793372
2018-03-01;3767.500000;3790.000000;3741.000000;3764.000000;2877.886230;499727
2018-03-02;3749.500000;3769.000000;3675.500000;3749.500000;2866.799805;562011
2018-03-05;3752.500000;3786.000000;3726.500000;3730.000000;2851.890381;374198
2018-03-06;3740.500000;3766.000000;3727.500000;3744.000000;2862.594482;645382
2018-03-07;3725.000000;3726.000000;3690.000000;3721.000000;2845.009277;677933
2018-03-09;3710.000000;3757.500000;3706.000000;3755.500000;2871.387207;229846
2018-03-12;3785.000000;3794.000000;3740.000000;3770.000000;2882.473877;374005
2018-03-13;3767.000000;3776.000000;3742.000000;3773.000000;2884.767334;507874
2018-03-14;3757.500000;3776.000000;3735.000000;3742.000000;2861.065674;504987
2018-03-15;3743.500000;3790.500000;3718.500000;3787.000000;2895.471436;850733
2018-03-16;3798.000000;3874.500000;3773.500000;3874.500000;2962.372803;1187541
2018-03-19;3873.500000;3880.000000;3807.500000;3815.000000;2916.879639;582081
2018-03-20;3827.500000;3869.500000;3792.000000;3863.000000;2953.580078;651476
2018-03-21;3865.000000;3937.000000;3849.000000;3874.000000;2961.989990;783538
2018-03-22;3889.500000;3903.000000;3829.000000;3857.000000;2948.992432;606166
2018-03-23;3838.000000;3915.000000;3818.000000;3874.500000;2962.372803;1101825
2018-03-26;3875.000000;3889.000000;3809.500000;3814.000000;2916.115479;508136
2018-03-27;3831.000000;3909.000000;3820.000000;3878.000000;2965.048340;889969
2018-03-28;3858.000000;3947.000000;3850.500000;3927.000000;3002.512939;710820
2018-03-29;3936.500000;3991.500000;3916.500000;3991.500000;3051.828857;861190
2018-03-30;3988.000000;4004.000000;3961.000000;3961.000000;3028.509033;265745
2018-04-02;3963.500000;4005.000000;3955.500000;3955.500000;3024.303711;434374
2018-04-03;3960.000000;3975.000000;3920.500000;3943.000000;3014.746582;413942
2018-04-04;3945.000000;3966.000000;3897.000000;3928.500000;3003.659912;570186
2018-04-05;3940.500000;3990.000000;3940.500000;3990.000000;3050.681641;617059
2018-04-06;3967.500000;3972.500000;3918.500000;3925.000000;3000.984131;513715
2018-04-09;3919.500000;3920.500000;3532.500000;3640.000000;2783.078369;2793320
2018-04-10;3646.500000;3935.000000;3621.000000;3900.000000;2981.869385;2183917
2018-04-11;3872.000000;4077.000000;3865.000000;4070.000000;3111.848389;2053396
2018-04-12;4077.000000;4098.000000;3944.500000;3959.000000;3026.979980;1070121
2018-04-13;3990.000000;3990.000000;3882.500000;3902.000000;2983.398438;1187191
2018-04-16;3877.000000;3935.500000;3851.500000;3892.000000;2975.752686;755990
2018-04-17;3912.500000;3951.000000;3905.000000;3940.000000;3012.452637;1015042
2018-04-18;3935.500000;4033.500000;3927.500000;4030.000000;3081.265137;1087895
2018-04-19;4030.000000;4056.000000;3994.000000;4015.000000;3069.796387;705237
2018-04-20;4008.000000;4029.000000;3972.000000;3975.500000;3039.595459;342766
2018-04-23;3981.500000;4019.000000;3933.000000;3974.000000;3038.448242;819373
2018-04-24;4000.500000;4063.000000;3980.000000;3999.500000;3057.945313;732074
2018-04-25;3973.500000;4029.000000;3950.500000;4029.000000;3080.500488;507134
2018-04-26;4029.500000;4157.000000;4016.500000;4140.000000;3165.368896;957780
2018-04-27;4140.500000;4215.000000;4140.500000;4212.000000;3220.419189;796288
2018-04-30;4171.000000;4243.000000;4156.500000;4156.500000;3177.984619;537010
2018-05-02;4155.000000;4206.000000;4141.000000;4141.000000;3166.133789;578524
2018-05-03;4137.500000;4160.500000;4079.000000;4092.000000;3128.668945;591120
2018-05-04;4089.500000;4128.000000;4080.500000;4108.000000;3140.902588;560244
2018-05-07;4111.000000;4176.000000;4111.000000;4121.000000;3150.842041;298551
2018-05-08;4110.500000;4180.000000;4086.500000;4180.000000;3195.952393;695559
2018-05-10;4225.000000;4288.000000;4209.500000;4235.000000;3238.004150;903174
2018-05-11;4250.000000;4378.000000;4236.000000;4351.000000;3326.695801;879476
2018-05-14;4372.500000;4407.500000;4322.500000;4407.500000;3369.894775;815003
2018-05-15;4379.500000;4404.000000;4355.000000;4392.000000;3358.043701;862317
2018-05-16;4380.000000;4418.000000;4347.500000;4390.500000;3356.896729;672055
2018-05-17;4409.000000;4430.500000;4375.500000;4375.500000;3345.428223;530392
2018-05-18;4364.000000;4435.000000;4354.500000;4423.500000;3382.128174;654781
2018-05-21;4449.000000;4453.500000;4403.000000;4408.500000;3370.659180;424112
2018-05-22;4407.500000;4414.500000;4337.000000;4360.000000;3333.577393;750120
2018-05-23;4338.500000;4338.500000;4251.500000;4263.000000;3259.412598;790129
2018-05-24;4283.000000;4298.500000;4230.000000;4230.000000;3234.181152;566538
2018-05-25;4246.000000;4281.500000;4206.000000;4220.500000;3226.917725;694535
2018-05-28;4253.500000;4300.500000;4217.000000;4290.000000;3280.056152;301328
2018-05-29;4292.000000;4298.500000;4163.000000;4219.000000;3225.770752;791703
2018-05-30;4224.000000;4240.000000;4181.500000;4239.000000;3241.062744;524260
2018-05-31;4255.000000;4262.000000;4157.500000;4209.000000;3218.125000;1515272
2018-06-01;4210.000000;4258.000000;4180.500000;4205.500000;3215.449463;750948
2018-06-04;4224.500000;4304.500000;4224.500000;4299.000000;3286.937500;747689
2018-06-05;4297.500000;4313.500000;4256.000000;4258.000000;3255.589355;974236
2018-06-06;4285.000000;4285.000000;4212.500000;4264.500000;3260.559570;524948
2018-06-07;4270.000000;4292.000000;4250.000000;4250.000000;3249.472900;519762
2018-06-08;4235.000000;4282.500000;4163.000000;4165.000000;3184.483643;752635
2018-06-11;4194.000000;4199.500000;4140.000000;4159.500000;3180.278320;356368
2018-06-13;4181.500000;4208.500000;4140.000000;4140.000000;3165.368896;778025
2018-06-14;4120.000000;4136.000000;4083.000000;4090.000000;3127.139893;565777
2018-06-15;4102.500000;4137.000000;4053.000000;4055.000000;3100.379639;1592609
2018-06-18;4039.000000;4082.000000;4018.000000;4045.500000;3093.115723;576993
2018-06-19;4035.000000;4108.500000;4006.000000;4091.000000;3127.904541;834288
2018-06-20;4100.000000;4161.500000;4097.500000;4132.000000;3159.252197;793393
2018-06-21;4138.500000;4171.500000;4117.500000;4135.000000;3161.545898;693441
2018-06-22;4155.000000;4189.000000;4141.000000;4163.000000;3182.954590;419560
2018-06-25;4110.000000;4167.500000;4110.000000;4140.000000;3165.368896;489463
2018-06-26;4151.000000;4173.000000;4128.000000;4154.000000;3176.073486;420509
2018-06-27;4173.500000;4259.000000;4172.000000;4222.000000;3228.064697;593542
2018-06-28;4220.000000;4272.000000;4212.500000;4227.000000;3231.887207;549019
2018-06-29;4255.000000;4355.000000;4250.500000;4350.000000;3325.931396;1011550
2018-07-02;4335.000000;4401.000000;4319.500000;4361.000000;3334.341553;791431
2018-07-03;4366.000000;4393.000000;4322.000000;4331.000000;3311.403809;478632
2018-07-04;4335.000000;4349.500000;4326.500000;4334.500000;3314.080078;152701
2018-07-05;4331.000000;4462.000000;4326.000000;4462.000000;3411.564697;693256
2018-07-06;4452.000000;4452.000000;4351.500000;4415.500000;3376.011230;741341
2018-07-09;4406.000000;4460.000000;4406.000000;4454.000000;3405.447754;587396
2018-07-10;4369.000000;4409.500000;4336.000000;4358.500000;3432.619141;929983
2018-07-11;4346.000000;4350.000000;4280.000000;4280.000000;3370.794678;595465
2018-07-12;4272.000000;4302.500000;4223.000000;4236.000000;3336.141846;706232
2018-07-13;4231.500000;4333.500000;4231.500000;4310.000000;3394.422119;442035
2018-07-16;4320.000000;4347.000000;4265.000000;4284.500000;3374.339111;417220
2018-07-17;4287.500000;4287.500000;4200.000000;4262.500000;3357.011963;564322
2018-07-18;4269.000000;4308.500000;4240.000000;4299.000000;3385.758545;639254
2018-07-19;4295.000000;4329.000000;4269.500000;4319.000000;3401.510010;488946
2018-07-20;4341.500000;4357.500000;4286.000000;4300.000000;3386.546387;583760
2018-07-23;4295.000000;4382.500000;4276.500000;4340.000000;3418.049072;441943
2018-07-24;4360.000000;4360.000000;4317.500000;4322.000000;3403.872559;335070
2018-07-25;4313.000000;4396.000000;4305.000000;4385.000000;3453.489502;473224
2018-07-26;4400.000000;4421.000000;4387.500000;4420.000000;3481.053955;526689
2018-07-27;4417.500000;4426.000000;4383.000000;4425.000000;3484.992432;359072
2018-07-30;4400.500000;4430.000000;4370.500000;4410.000000;3473.178955;446574
2018-07-31;4400.500000;4488.000000;4377.500000;4451.500000;3505.862793;916612
2018-08-01;4460.000000;4509.000000;4454.500000;4494.000000;3539.334717;513123
2018-08-02;4480.000000;4527.000000;4478.000000;4501.500000;3545.241211;444111
2018-08-03;4494.500000;4529.000000;4467.500000;4499.500000;3543.666016;479882
2018-08-06;4500.000000;4517.000000;4450.000000;4479.000000;3527.520752;410588
2018-08-07;4479.500000;4539.000000;4472.000000;4520.000000;3559.811523;428411
2018-08-08;4520.000000;4525.000000;4448.000000;4499.000000;3543.271729;536737
2018-08-09;4490.000000;4598.000000;4490.000000;4598.000000;3621.241699;703280
2018-08-10;4594.000000;4648.000000;4546.000000;4577.000000;3604.702881;675344
2018-08-13;4560.000000;4601.500000;4521.500000;4541.000000;3576.350342;728413
2018-08-14;4560.000000;4579.000000;4452.500000;4460.000000;3512.557129;755392
2018-08-15;4448.000000;4465.000000;4361.500000;4428.500000;3487.748779;887008
2018-08-16;4428.000000;4440.000000;4351.500000;4396.000000;3462.153076;436110
2018-08-17;4382.000000;4418.000000;4358.000000;4375.000000;3445.613281;435110
